0,buv9, found,2022-02-03 23:36:17.933720
1,buv9,", already has scan date recorded for, 2021-11-07",2022-02-03 23:36:17.933720
2,l4gb, found,2022-02-03 23:36:17.933720
3,l4gb,", has new scan date recorded, 2021-11-07",2022-02-03 23:36:17.933720
4,l4az, found,2022-02-03 23:36:17.933720
5,l4az,", has new scan date recorded, 2021-11-07",2022-02-03 23:36:17.933720
6,5m71, found,2022-02-03 23:36:17.933720
7,5m71,", has new scan date recorded, 2021-11-07",2022-02-03 23:36:17.933720
8,kecv, found,2022-02-03 23:36:17.933720
9,l4js, found,2022-02-03 23:36:17.933720
10,eiwh, found,2022-02-03 23:36:17.933720
11,eiwh,", has new scan date recorded, 2021-11-07",2022-02-03 23:36:17.933720
12,bu8x, found,2022-02-03 23:36:17.933720
13,f3tt, found,2022-02-03 23:36:17.933720
14,f3tt,", has new scan date recorded, 2021-11-07",2022-02-03 23:36:17.933720
15,f3ti, found,2022-02-03 23:36:17.933720
16,f3ti,", has new scan date recorded, 2021-11-07",2022-02-03 23:36:17.933720
0,buv9, found,2022-02-03 23:36:17.950797
1,buv9,", already has scan date recorded for, 2021-11-07",2022-02-03 23:36:17.950797
2,l4gb, found,2022-02-03 23:36:17.950797
3,l4gb,", has new scan date recorded, 2021-11-07",2022-02-03 23:36:17.950797
4,l4az, found,2022-02-03 23:36:17.950797
5,l4az,", has new scan date recorded, 2021-11-07",2022-02-03 23:36:17.950797
6,5m71, found,2022-02-03 23:36:17.950797
7,5m71,", has new scan date recorded, 2021-11-07",2022-02-03 23:36:17.950797
8,kecv, found,2022-02-03 23:36:17.950797
9,l4js, found,2022-02-03 23:36:17.950797
10,eiwh, found,2022-02-03 23:36:17.950797
11,eiwh,", has new scan date recorded, 2021-11-07",2022-02-03 23:36:17.950797
12,bu8x, found,2022-02-03 23:36:17.950797
13,f3tt, found,2022-02-03 23:36:17.950797
14,f3tt,", has new scan date recorded, 2021-11-07",2022-02-03 23:36:17.950797
15,f3ti, found,2022-02-03 23:36:17.950797
16,f3ti,", has new scan date recorded, 2021-11-07",2022-02-03 23:36:17.950797
0,f3ti, found,2022-02-03 23:39:27.418979
1,f3ti,", already has scan date recorded for, 2021-11-07",2022-02-03 23:39:27.418979
2,f3ti, found,2022-02-03 23:39:27.418979
3,f3ti,", already has scan date recorded for, 2021-11-07",2022-02-03 23:39:27.418979
4,5m38, found,2022-02-03 23:39:27.418979
5,5m38,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.418979
6,f3te, found,2022-02-03 23:39:27.418979
7,f3te,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.418979
8,eiwv, found,2022-02-03 23:39:27.418979
9,eiwv,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.418979
10,eiwx, found,2022-02-03 23:39:27.418979
11,eiwx,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.418979
12,5m31, found,2022-02-03 23:39:27.418979
13,chcc, found,2022-02-03 23:39:27.418979
14,chcc,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.418979
15,l4gh, found,2022-02-03 23:39:27.418979
16,l4gh,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.418979
17,5m6z, found,2022-02-03 23:39:27.418979
18,5m6z,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.418979
19,l4jz, found,2022-02-03 23:39:27.418979
20,l4jz,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.418979
0,f3ti, found,2022-02-03 23:39:27.435683
1,f3ti,", already has scan date recorded for, 2021-11-07",2022-02-03 23:39:27.435683
2,f3ti, found,2022-02-03 23:39:27.435683
3,f3ti,", already has scan date recorded for, 2021-11-07",2022-02-03 23:39:27.435683
4,5m38, found,2022-02-03 23:39:27.435683
5,5m38,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.435683
6,f3te, found,2022-02-03 23:39:27.435683
7,f3te,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.435683
8,eiwv, found,2022-02-03 23:39:27.435683
9,eiwv,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.435683
10,eiwx, found,2022-02-03 23:39:27.435683
11,eiwx,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.435683
12,5m31, found,2022-02-03 23:39:27.435683
13,chcc, found,2022-02-03 23:39:27.435683
14,chcc,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.435683
15,l4gh, found,2022-02-03 23:39:27.435683
16,l4gh,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.435683
17,5m6z, found,2022-02-03 23:39:27.435683
18,5m6z,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.435683
19,l4jz, found,2022-02-03 23:39:27.435683
20,l4jz,", has new scan date recorded, 2021-11-07",2022-02-03 23:39:27.435683
0,l4jz, found,2022-02-03 23:43:52.867453
1,l4jz,", already has scan date recorded for, 2021-11-07",2022-02-03 23:43:52.867453
2,5m9v, found,2022-02-03 23:43:52.867453
3,5m9v,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.867453
4,5m9w, found,2022-02-03 23:43:52.867453
5,5m9w,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.867453
6,l4j3, found,2022-02-03 23:43:52.867453
7,l4j3,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.867453
8,l4j4, found,2022-02-03 23:43:52.867453
9,l4j4,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.867453
10,anyp, found,2022-02-03 23:43:52.867453
11,anyp,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.867453
12,ao3p, found,2022-02-03 23:43:52.867453
13,ao3p,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.867453
14,jfw, found,2022-02-03 23:43:52.867453
15,5m51, found,2022-02-03 23:43:52.867453
16,5m51,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.867453
17,l49e, found,2022-02-03 23:43:52.867453
18,l49e,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.867453
19,5m50, found,2022-02-03 23:43:52.867453
20,5m50,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.867453
21,kecx, found,2022-02-03 23:43:52.867453
22,kecw, found,2022-02-03 23:43:52.867453
23,kecy, found,2022-02-03 23:43:52.867453
24,gehk, found,2022-02-03 23:43:52.867453
25,gehk,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.867453
26,5m12, found,2022-02-03 23:43:52.867453
27,5m12,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.867453
28,51ws, found,2022-02-03 23:43:52.867453
29,51x6, found,2022-02-03 23:43:52.867453
30,5lwp, found,2022-02-03 23:43:52.867453
31,5lwp,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.867453
32,5m1p, found,2022-02-03 23:43:52.867453
33,5m1p,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.867453
0,l4jz, found,2022-02-03 23:43:52.889266
1,l4jz,", already has scan date recorded for, 2021-11-07",2022-02-03 23:43:52.889266
2,5m9v, found,2022-02-03 23:43:52.889266
3,5m9v,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.889266
4,5m9w, found,2022-02-03 23:43:52.889266
5,5m9w,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.889266
6,l4j3, found,2022-02-03 23:43:52.889266
7,l4j3,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.889266
8,l4j4, found,2022-02-03 23:43:52.889266
9,l4j4,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.889266
10,anyp, found,2022-02-03 23:43:52.889266
11,anyp,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.889266
12,ao3p, found,2022-02-03 23:43:52.889266
13,ao3p,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.889266
14,jfw, found,2022-02-03 23:43:52.889266
15,5m51, found,2022-02-03 23:43:52.889266
16,5m51,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.889266
17,l49e, found,2022-02-03 23:43:52.889266
18,l49e,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.889266
19,5m50, found,2022-02-03 23:43:52.889266
20,5m50,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.889266
21,kecx, found,2022-02-03 23:43:52.889266
22,kecw, found,2022-02-03 23:43:52.889266
23,kecy, found,2022-02-03 23:43:52.889266
24,gehk, found,2022-02-03 23:43:52.889266
25,gehk,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.889266
26,5m12, found,2022-02-03 23:43:52.889266
27,5m12,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.889266
28,51ws, found,2022-02-03 23:43:52.889266
29,51x6, found,2022-02-03 23:43:52.889266
30,5lwp, found,2022-02-03 23:43:52.889266
31,5lwp,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.889266
32,5m1p, found,2022-02-03 23:43:52.889266
33,5m1p,", has new scan date recorded, 2021-11-07",2022-02-03 23:43:52.889266
0,5m1p, found,2022-02-03 23:46:04.550755
1,5m1p,", already has scan date recorded for, 2021-11-07",2022-02-03 23:46:04.550755
2,5ly0, found,2022-02-03 23:46:04.550755
3,5ly0,", has new scan date recorded, 2021-11-07",2022-02-03 23:46:04.550755
4,ikp4, found,2022-02-03 23:46:04.550755
5,5lzk, found,2022-02-03 23:46:04.550755
6,5lzk,", has new scan date recorded, 2021-11-07",2022-02-03 23:46:04.550755
7,5m0f, found,2022-02-03 23:46:04.550755
8,5m0f,", has new scan date recorded, 2021-11-07",2022-02-03 23:46:04.550755
9,5lxh, found,2022-02-03 23:46:04.550755
10,5lxh,", has new scan date recorded, 2021-11-07",2022-02-03 23:46:04.550755
11,5lwn, found,2022-02-03 23:46:04.550755
